code,province_code,name,latitude,longitude,population
31223,31,Sartaguda,42.384612,-2.041923,1349
31224,31,Sesma,42.470661,-2.087122,1248
31225,31,Sorlada,42.611382,-2.214519,39
31226,31,Sunbilla,43.179259,-1.664822,672
31227,31,Tafalla,42.515727,-1.710046,10854
31228,31,"Tiebas-Muruarte de Reta",42.685879,-1.64063,693
31229,31,Tirapu,42.64749,-1.693311,49
31230,31,"Torralba del Río",42.621731,-2.321497,96
31231,31,"Torres del Río",42.520866,-2.270881,116
31232,31,Tudela,42.081213,-1.644457,38903
31233,31,Tulebras,41.98301,-1.684671,159
31234,31,Ucar,42.686129,-1.706491,194
31235,31,Ujué,42.475164,-1.491642,168
31236,31,Ultzama,43.009652,-1.686391,1599
31237,31,Unciti,42.729067,-1.479453,257
31238,31,Unzué,42.663216,-1.623402,164
31239,31,Urdazubi,43.277037,-1.510803,354
31240,31,Urdiain,42.904966,-2.145256,647
31241,31,"Urraul Alto",42.79158,-1.226365,136
31242,31,"Urraul Bajo",42.690614,-1.327945,330
31243,31,Urroz-Villa,42.778762,-1.452831,403
31244,31,Urroz,43.082454,-1.709504,175
31245,31,Urzainqui,42.834948,-0.930623,76
31246,31,Uterga,42.714679,-1.752626,177
31247,31,Uztárroz,42.914825,-0.959327,136
31248,31,Luzaide,43.065097,-1.314029,336
31249,31,Valtierra,42.215345,-1.615986,2505
31250,31,Bera,43.287467,-1.668241,3779
31251,31,Viana,42.506054,-2.358569,4441
31252,31,Vidángoz,42.816795,-1.007795,74
31253,31,Bidaurreta,42.768399,-1.842554,181
31254,31,Villafranca,42.273918,-1.725414,3163
31255,31,"Villamayor de Monjardín",42.614088,-2.127891,115
31256,31,Hiriberri,42.949647,-1.20859,96
31257,31,Villatuerta,42.639622,-1.954545,1256
31258,31,Villava,42.832822,-1.609913,9928
31259,31,Igantzi,43.219183,-1.690682,578
31260,31,"Valle de Yerri",42.795349,-2.043833,1549
31261,31,Yesa,42.626959,-1.19271,297
31262,31,Zabalza,42.766323,-1.799876,285
31263,31,Zubieta,43.130001,-1.755671,292
31264,31,Zugarramurdi,43.268793,-1.544932,213
31265,31,Zúñiga,42.691956,-2.295404,78
31901,31,Barañáin,42.803966,-1.689227,19642
31902,31,Berrioplano,42.858039,-1.703267,7645
31903,31,Berriozar,42.843157,-1.66977,11361
31904,31,Irurtzun,42.923898,-1.824105,2296
31905,31,Beriáin,42.731653,-1.643702,4195
31906,31,Orkoien,42.825984,-1.704404,4098
31907,31,"Zizur Mayor",42.790098,-1.695074,16510
31908,31,Lekunberri,43.010917,-1.904423,1746
32001,32,Allariz,42.190502,-7.804661,6497
32002,32,Amoeiro,42.398545,-7.945724,2443
32003,32,"A Arnoia",42.251248,-8.132125,949
32004,32,Avión,42.387974,-8.27272,1719
32005,32,Baltar,41.935014,-7.7376,849
32006,32,Bande,42.031556,-7.9708,1460
32007,32,"Baños de Molgas",42.226066,-7.678538,1471
32008,32,Barbadás,42.300571,-7.907362,11201
32009,32,"O Barco de Valdeorras",42.415313,-6.982383,13368
32010,32,Beade,42.325227,-8.133114,363
32011,32,Beariz,42.480248,-8.279629,901
32012,32,"Os Blancos",41.980677,-7.758355,696
32013,32,Boborás,42.44345,-8.177059,2167
32014,32,"A Bola",42.145187,-7.897544,1139
32015,32,"O Bolo",42.296641,-7.106984,789
32016,32,"Calvos de Randín",41.934365,-7.856547,650
32017,32,"Carballeda de Valdeorras",42.34525,-6.845412,1311
32018,32,"Carballeda de Avia",42.329026,-8.18848,1172
32019,32,"O Carballiño",42.441477,-8.076838,14249
32020,32,Cartelle,42.2389,-8.021472,2466
32021,32,"Castrelo do Val",42.039155,-7.357993,947
32022,32,"Castrelo de Miño",42.294294,-8.064698,1289
32023,32,"Castro Caldelas",42.374424,-7.404089,1244
32024,32,Celanova,42.158835,-7.973347,5723
32025,32,Cenlle,42.339494,-8.077202,1066
32026,32,Coles,42.406598,-7.838386,3228
32027,32,Cortegada,42.207741,-8.149344,1027
32028,32,Cualedro,41.96225,-7.594462,1538
32029,32,"Chandrexa de Queixa",42.250706,-7.375576,467
32030,32,Entrimo,41.942916,-8.139244,1093
32031,32,Esgos,42.333406,-7.69663,1103
32032,32,"Xinzo de Limia",42.044596,-7.706085,9699
32033,32,Gomesende,42.188909,-8.098349,646
32034,32,"A Gudiña",42.038908,-7.167806,1197
32035,32,"O Irixo",42.513978,-8.140928,1340
32036,32,"Xunqueira de Ambía",42.180039,-7.71666,1346
32037,32,"Xunqueira de Espadanedo",42.321567,-7.636359,696
32038,32,Larouco,42.354211,-7.165953,484
